Name,Symbol,Weight
Potassium,K,39.0983
Phosphate,PO4,97.9714
Nitrate,NO3,62
Ammonium,NH4,18.04
Calcium,Ca,40.078
Magnesium,Mg,24.305
Borate,BO3,58.811
Manganese,Mn,54.938044
Zinc,Zn,65.38
Copper,Cu,63.546
Molybdenum,Mo,95.94
Iron,Fe,55.845
Sulfate,SO4,96.06
Silica,SiO2,60.08
Chloride,Cl,35.453
Sodium,Na,22.989
Name,Symbol,Weight
Nitrogen,N,14.0067
Phosphorus,P,30.97
Potassium,K,39.0983
Calcium,Ca,40.078
Magnesium,Mg,24.305
Iron,Fe,55.845
Manganese,Mn,54.938044
Copper,Cu,63.546
Zinc,Zn,65.38
Boron,B,10.811
Molybdenum,Mo,95.94
